type,category,name,brand,purchase date,price,market,image_url,status,notes
Hardware,Console,PlayStation 3,Sony,6-Jan-12,"SAR 1,500.00",Playstation SA,,Retired,
Hardware,Console,PlayStation 4,Sony,15-Nov-13,"SAR 1,800.00",Playstation SA,,Retired,
Hardware,Console,PlayStation 5 Disc Edition,Sony,12-Nov-20,"SAR 1,800.00",Playstation SA,,Owned,
Hardware,Console,Xbox Series S,Sony,16-Apr-22,"SAR 1,380.00",STC Store,,Owned,
Hardware,Console,Nintendo Switch,Sony,17-Feb-22,"SAR 1,500.00",Noon,,Owned,
Hardware,PC,PC 2070 Super i7-9700K,Nvidia,14-May-19,"SAR 6,600.00",Silicon Valley,,Owned,
Hardware,Monitor,"LG 27MP59G 27"" Gaming Monitor",LG,14-May-19,SAR 899.00,,,Owned,
Hardware,Monitor,"BenQ ZOWIE XL2546 24.5 Inch 240Hz Gaming Monitor 1080P 1ms Dynamic Accuracy & Black eQualizer for Competitive Edge	",BenQ,8-Dec-19,"SAR 1,800.75",INFINIARC,,Owned,
Hardware,PC,G.SKILL TridentZ RGB Series 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Intel XMP 2.0 Desktop Memory Model F4-3200C16D-32GTZR,G.SKILL,13-Nov-21,SAR 424.34,NewEgg,,Owned,
Hardware,PC,"Intel 660p Series M.2 2280 1TB PCIe NVMe 3.0 x4 3D2, QLC Internal Solid State Drive (SSD) SSDPEKNW010T8X1",Intel,13-Dec-19,SAR 520.86,NewEgg,,Owned,
Hardware,Console,Steamdeck LCD 512GB,Valve,3-Jun-23,"SAR 3,000.00",Noon,,Owned,
Subscription,Service,Xbox Live Gold 12 months TURKEY x3,Microsoft,19-Feb-23,SAR 357.69,eneba,,Expired,
Subscription,Service,Xbox Gamepass Ultimate - 1 Month,Microsoft,19-Feb-23,SAR 25.18,eneba,,Expired,
Subscription,Service,Playstation Plus Delux 12 Months TURKEY (2022-2023),Sony,10-Dec-22,SAR 130.00,NO ONE#7691 DISCORD,,Expired,
Subscription,Service,Playstation Plus 12 months (2012 - 2019),Sony,6-Jan-12,"SAR 1,100.00",PSN Store,,Expired,
Subscription,Service,Playstation Plus Extra 12 months (2023-2024),Sony,18-Dec-23,SAR 350.00,PSN Store,,Expired,
Subscription,Service,Playstation Plus Premium 19 days,Sony,27-Nov-24,SAR 3.57,PSN Store,,Expired,
